ReviewID,ReviewText,Fake
0,Amazing product!!! Love it.,1
1,"Excellent product, highly recommended!",0
2,"Very bad experience, disappointed.",0
3,"Perfect item, fast delivery.",1
4,Amazing product!!! Love it.,0
5,Amazing product!!! Love it.,0
6,"Terrible, waste of money.",0
7,"Terrible, waste of money.",1
8,"Perfect item, fast delivery.",1
9,Amazing product!!! Love it.,1
10,"Perfect item, fast delivery.",0
11,Great value for money.,1
12,Great value for money.,1
13,"Worst purchase ever, don’t buy!",1
14,"Very bad experience, disappointed.",1
15,"Perfect item, fast delivery.",0
16,"Excellent product, highly recommended!",1
17,"Very bad experience, disappointed.",0
18,"Very bad experience, disappointed.",1
19,"Worst purchase ever, don’t buy!",0
